,ID,X,Y,X_scale,Y_scale
49,0,4266.987305,4102.538086,1.29172557,-1.840227061
105,1,4213.679688,4103.933105,0.623808161,-1.823112366
106,2,4207.587402,4103.933105,0.547474907,-1.823112366
107,3,4149.710938,4103.933105,-0.177687839,-1.823112366
108,4,4104.019043,4103.933105,-0.750184114,-1.823112366
169,5,4152.757324,4105.327637,-0.139518167,-1.806003646
241,6,4140.572754,4108.117676,-0.292184651,-1.771774243
290,7,4239.571777,4109.512207,0.948222906,-1.754665536
291,8,4181.695312,4109.512207,0.223060148,-1.754665536
292,9,4078.127197,4109.512207,-1.074595815,-1.754665536
409,10,4270.033203,4112.302246,1.329889128,-1.720436133
484,11,4212.156738,4115.091797,0.60472637,-1.686212718
485,12,4161.895508,4115.091797,-0.025021356,-1.686212718
486,13,4108.588379,4115.091797,-0.692932651,-1.686212718
582,14,4244.141113,4117.881836,1.00547437,-1.651983316
670,15,4186.264648,4120.671387,0.280311611,-1.617759901
671,16,4087.265625,4120.671387,-0.960095946,-1.617759901
721,17,4081.17334,4122.066406,-1.036429188,-1.600645206
775,18,4137.526855,4123.461426,-0.330348221,-1.583530499
831,19,4216.726074,4124.855957,0.661977833,-1.566421791
832,20,4169.51123,4124.855957,0.070399779,-1.566421791
833,21,4067.465576,4124.855957,-1.208180519,-1.566421791
918,22,4250.233398,4127.645996,1.081807611,-1.532192389
919,23,4161.895508,4127.645996,-0.025021356,-1.532192389
1020,24,4047.665771,4130.435547,-1.456262036,-1.497968974
1066,25,4195.40332,4131.830566,0.394814537,-1.480854279
1067,26,4093.357666,4131.830566,-0.883765761,-1.480854279
1129,27,4140.572754,4133.225586,-0.292184651,-1.463739572
1180,28,4222.818359,4134.620117,0.738311074,-1.446630864
1228,29,4253.279297,4136.015137,1.119971181,-1.429516156
1390,30,4204.541504,4140.199707,0.509311349,-1.378178046
1479,31,4224.341309,4142.989746,0.757392866,-1.343948644
1480,32,4145.14209,4142.989746,-0.234933188,-1.343948644
1481,33,4097.926758,4142.989746,-0.826517355,-1.343948644
