,ID,X,Y
50,0,3811.59082,4102.538086
51,1,3796.360107,4102.538086
52,2,3775.037354,4102.538086
109,3,3889.26709,4103.933105
140,4,3936.497314,4442.890137
200,5,3828.344482,4106.722656
242,6,3968.466553,4108.117676
243,7,3781.129639,4108.117676
293,8,3816.159912,4109.512207
294,9,3621.207764,4109.512207
325,10,3983.712402,4448.469238
356,11,3948.666748,4110.907227
410,12,3743.052979,4112.302246
411,13,3726.299316,4112.302246
428,14,3985.235352,4451.259277
449,15,3892.313232,4113.697266
450,16,3800.929443,4113.697266
480,17,3744.682617,4460.033203
506,18,3715.866211,4028.079102
541,19,3968.466553,4116.486816
542,20,3621.207764,4116.486816
559,21,3938.020508,4455.443848
579,22,3900.552979,4316.443359
583,23,3832.913818,4117.881836
584,24,3782.652588,4117.881836
585,25,3787.22168,4117.881836
586,26,3712.591553,4117.881836
672,27,3956.281982,4120.671387
673,28,3701.930176,4120.671387
688,29,3768.640381,4399.718262
697,30,3986.758545,4459.628418
722,31,3968.466553,4122.066406
723,32,3895.359375,4122.066406
724,33,3832.913818,4122.066406
725,34,3768.945068,4122.066406
726,35,3637.961426,4122.066406
750,36,3939.543457,4461.023438
834,37,3834.436768,4124.855957
884,38,3969.989502,4126.250977
885,39,3750.668213,4126.250977
915,40,3881.255859,4399.244141
920,41,3785.69873,4127.645996
921,42,3630.346191,4127.645996
1006,43,3873.19873,4007.853271
1021,44,3773.51416,4130.435547
1022,45,3619.684814,4130.435547
1068,46,3963.897217,4131.830566
1130,47,3901.45166,4133.225586
1131,48,3736.960693,4133.225586
1132,49,3657.76123,4133.225586
1277,50,3839.006104,4137.410156
1278,51,3659.284424,4137.410156
1279,52,3622.730713,4137.410156
1324,53,3617.567627,4267.315918
1336,54,3776.560303,4138.805176
1337,55,3721.72998,4138.805176
1348,56,3794.593506,4097.16748
1391,57,3977.60498,4140.199707
1392,58,3708.022461,4140.199707
1393,59,3645.576904,4140.199707
1413,60,3762.350098,4067.456543
1434,61,3904.497803,4141.594727
1435,62,3660.807373,4141.594727
1455,63,3734.462891,4323.29248
